SG_PARTIDO,NM_PARTIDO,DS_CARGO,SG_UF,txGenFeminino,totalGenFeminino,txCorRacaPreta,totalCorRacaPreta,txCorRacaPretaParda,totalCorRacaPretaParda,txCorRacaNaoBranca,totalCorRacaNaoBranca,totalBens,avgBens,avgBensNotZero,txEstadoCivilCasado,txEstadoCivilSolteiro,txEstadoCivilSeparadoDivorciado,avgIdade,totalCandidaturas
UNIÃO,UNIÃO BRASIL,GERAL,AC,0.330578512396694,80,0.12396694214876,30,0.830578512396694,201,0.871900826446281,211,34892924,144185.636363636,247467.546099291,0.504132231404959,0.417355371900826,0.0,44.1487603305785,242
UNIÃO,UNIÃO BRASIL,GERAL,AL,0.330188679245283,140,0.0660377358490566,28,0.688679245283019,292,0.719339622641509,305,39882568.07,94062.6605424528,231875.395755814,0.518867924528302,0.398584905660377,0.00471698113207547,45.2099056603774,424
UNIÃO,UNIÃO BRASIL,GERAL,AM,0.329896907216495,256,0.0463917525773196,36,0.818298969072165,635,0.875,679,151092752.0,194707.154639175,395530.764397906,0.362113402061856,0.591494845360825,0.00257731958762887,44.8247422680412,776
UNIÃO,UNIÃO BRASIL,GERAL,AP,0.362573099415205,62,0.134502923976608,23,0.801169590643275,137,0.818713450292398,140,17756667.89,103840.163099415,253666.684142857,0.368421052631579,0.56140350877193,0.0,44.2631578947368,171
UNIÃO,UNIÃO BRASIL,GERAL,BA,0.329077429983526,799,0.186985172981878,454,0.781301482701812,1897,0.789538714991763,1917,476257572.28,196152.212635914,301047.770088496,0.481466227347611,0.432042833607908,0.0028830313014827,46.9209225700165,2428
UNIÃO,UNIÃO BRASIL,GERAL,CE,0.346362649294245,319,0.0651465798045603,60,0.726384364820847,669,0.729641693811075,672,183640131.89,199392.108458198,303537.408082645,0.511400651465798,0.387622149837134,0.00542888165038002,44.3018458197611,921
UNIÃO,UNIÃO BRASIL,GERAL,ES,0.327205882352941,178,0.117647058823529,64,0.560661764705882,305,0.564338235294118,307,107827227.0,198211.814338235,311639.384393064,0.636029411764706,0.25,0.0202205882352941,47.7352941176471,544
UNIÃO,UNIÃO BRASIL,GERAL,GO,0.334333476210887,780,0.0878696956708101,205,0.591941705957994,1381,0.625803686240892,1460,1315465865.18,563851.635310759,782084.343151011,0.557651093013288,0.31118731247321,0.00557222460351479,47.8581225889413,2333
UNIÃO,UNIÃO BRASIL,GERAL,MA,0.360289283366206,548,0.13740959894806,209,0.78698224852071,1197,0.796186719263642,1211,265869653.65,174799.246318212,291843.747145993,0.456936226166995,0.473372781065089,0.00591715976331361,44.7435897435897,1521
UNIÃO,UNIÃO BRASIL,GERAL,MG,0.333466294375748,1672,0.11906661348225,597,0.507179896290387,2543,0.526326286398085,2639,1142613539.28,227884.630889509,311423.69551649,0.528520143597926,0.333466294375748,0.00997207818109294,47.6332269644994,5014
UNIÃO,UNIÃO BRASIL,GERAL,MS,0.355172413793103,206,0.0775862068965517,45,0.468965517241379,272,0.51551724137931,299,99732516.18,171952.614103448,272493.213606557,0.541379310344828,0.331034482758621,0.0103448275862069,47.5120689655172,580
UNIÃO,UNIÃO BRASIL,GERAL,MT,0.33013698630137,482,0.089041095890411,130,0.621232876712329,907,0.647260273972603,945,1324399760.34,907123.123520548,1180391.94315508,0.536301369863014,0.346575342465753,0.00342465753424658,47.0109589041096,1460
UNIÃO,UNIÃO BRASIL,GERAL,PA,0.346198156682028,601,0.102534562211982,178,0.81278801843318,1411,0.827764976958525,1437,381125263.96,219542.202741935,377725.732368682,0.434907834101383,0.509216589861751,0.00345622119815668,44.4890552995392,1736
UNIÃO,UNIÃO BRASIL,GERAL,PB,0.328358208955224,286,0.0929965556831228,81,0.584385763490241,509,0.615384615384615,536,122400601.71,140528.819414466,238133.466361868,0.506314580941447,0.382319173363949,0.00114810562571757,45.5832376578645,871
UNIÃO,UNIÃO BRASIL,GERAL,PE,0.343358395989975,274,0.0952380952380952,76,0.669172932330827,534,0.68796992481203,549,57679831.93,72280.4911403509,186063.973967742,0.543859649122807,0.353383458646617,0.006265664160401,45.9511278195489,798
UNIÃO,UNIÃO BRASIL,GERAL,PI,0.325396825396825,41,0.119047619047619,15,0.73015873015873,92,0.738095238095238,93,24691766.83,195966.403412698,293949.605119048,0.563492063492063,0.317460317460317,0.0,48.6507936507937,126
UNIÃO,UNIÃO BRASIL,GERAL,PR,0.336776859504132,978,0.0623278236914601,181,0.299242424242424,869,0.31404958677686,912,697594643.88,240218.541280992,341623.233858962,0.581267217630854,0.299586776859504,0.00964187327823691,47.7248622589532,2904
UNIÃO,UNIÃO BRASIL,GERAL,RJ,0.323627287853577,389,0.162229617304493,195,0.490848585690516,590,0.492512479201331,592,252535254.04,210095.885224626,395203.838873239,0.54242928452579,0.32279534109817,0.00665557404326123,47.9916805324459,1202
UNIÃO,UNIÃO BRASIL,GERAL,RN,0.341356673960613,312,0.0853391684901532,78,0.596280087527352,545,0.611597374179431,559,108419111.31,118620.471892779,163528.070542986,0.517505470459519,0.393873085339168,0.00437636761487965,45.4070021881838,914
UNIÃO,UNIÃO BRASIL,GERAL,RO,0.335628227194492,195,0.0877796901893287,51,0.707401032702238,411,0.716006884681583,416,214422935.71,369058.409139415,471259.199362637,0.55421686746988,0.289156626506024,0.0,46.5714285714286,581
UNIÃO,UNIÃO BRASIL,GERAL,RR,0.349206349206349,22,0.0476190476190476,3,0.841269841269841,53,0.857142857142857,54,12374225.13,196416.271904762,343728.475833333,0.587301587301587,0.333333333333333,0.0,42.4444444444444,63
UNIÃO,UNIÃO BRASIL,GERAL,RS,0.351883080382237,626,0.0702641933670601,125,0.15177065767285,270,0.157953906689151,281,9942706102.69,5588929.79353007,7509596.75429758,0.449128724002248,0.418212478920742,0.0236087689713322,47.6211354693648,1779
UNIÃO,UNIÃO BRASIL,GERAL,SC,0.349120433017591,516,0.037212449255751,55,0.175913396481732,260,0.179296346414073,265,379692364.94,256896.052056834,355184.625762395,0.474966170500677,0.395128552097429,0.0148849797023004,46.5358592692828,1478
UNIÃO,UNIÃO BRASIL,GERAL,SE,0.329218106995885,240,0.10562414266118,77,0.766803840877915,559,0.773662551440329,564,169424711.22,232407.01127572,388588.785206422,0.462277091906722,0.452674897119342,0.00685871056241427,44.9835390946502,729
